date,transaction
2005-01-12,Oakland Athletics Signed RHP Keiichi Yabu to a one-year contract.
2005-01-12,"St. Louis Cardinals Signed RHP Toby Borland, RHP Chris Gissell, RHP Bob File, INF Mike Bell, INF Wilton Guerrero, OF Raul Gonzalez and OF Brandon Berger to minor league contracts with invitations to Spring Training."
2005-01-12,Tampa Bay Devil Rays Signed LHP Mark Guthrie to a minor league contract and invited him to Spring Training.
2005-01-12,Signed INF Alex Gonzalez to a one-year contract.
2005-01-12,Toronto Blue Jays Acquired INF Shea Hillenbrand from the Diamondbacks in exchange for RHP Adam Peterson.
2005-01-13,Arizona Diamondbacks Designated RHP Casey Daigle for assignment.
2005-01-13,Houston Astros Signed RHP Dave Burba to a minor league contract with an invitation to Spring Training.
2005-01-13,Los Angeles Dodgers Signed C Paul Bako to a one-year contract.
2005-01-13,New York Yankees Re-signed DH Ruben Sierra to a one-year contract.
2005-01-13,Texas Rangers Sent INF Ruddy Yan outright to Triple-A Oklahoma.
2005-01-14,Atlanta Braves Signed OF Raul Mondesi to a one-year contract.
2005-01-14,Chicago Cubs Agreed to terms with RHP Chad Fox on a minor league contract with an invitation to Spring Training.
2005-01-14,Chicago White Sox Agreed to terms with OF Aaron Rowand on a two-year contract with mutual options for 2007; Outrighted C Jamie Burke to Triple-A Charlotte.
2005-01-14,Detroit Tigers Outrighted the contract of OF Alexis Gomez to Triple-A Toledo.
2005-01-14,Los Angeles Dodgers Designated OF Chin-Feng Chen for assignment.
2005-01-14,Oakland Athletics Signed DH Erubiel Durazo to a one-year contract and IF Bobby Smith to a minor league contract.
2005-01-14,San Diego Padres Agreed to terms with RHP Scott Linebrink on a two-year contract and RHP Miguel Asencio on a one-year contract.
2005-01-14,Seattle Mariners Agreed to terms with IF Benji Gil on a minor league contract.
2005-01-14,Washington Nationals Agreed to terms with 1B Nick Johnson a one-year contract.
2005-01-15,San Diego Padres Sent LHP Darrell May outright to Triple-A Portland and invited him to Spring Training.
2005-01-17,Arizona Diamondbacks Agreed to terms with LHP Randy Choate on a two-year contract.
2005-01-17,"Atlanta Braves Signed SS Rafael Furcal, RHP Dan Kolb and RHP Chris Reitsma to one-year contracts."
2005-01-17,Cincinnati Reds Agreed to terms with OF Adam Dunn and OF Austin Kearns on one-year contracts.
2005-01-17,"Florida Marlins Signed RHP A.J. Burnett, RHP Guillermo Mota and RHP Tim Spooneybarger to one-year contracts."
2005-01-17,Houston Astros Signed RHP Brandon Duckworth to a one-year contract.
2005-01-17,Los Angeles Angels Signed OF Jeff DaVanon to a one-year contract.
2005-01-17,San Francisco Giants Signed IF/OF Pedro Feliz to a two-year contract; signed C Yorvit Torrealba to a one-year contract.
2005-01-17,St. Louis Cardinals Agreed to terms with RHP Jason Marquis on a one-year contract.
2005-01-17,Texas Rangers Signed 2B Alfonso Soriano to a one-year contract.
2005-01-18,Arizona Diamondbacks Agreed to terms with RHP Brandon Lyon on a one-year contract.
2005-01-18,"Baltimore Orioles Signed RHP Jay Witasick, 2B Enrique Wilson, 3B Chris Stynes, OF Midre Cummings and C Keith McDonald to minor league contracts with invitations to Spring Training."
2005-01-18,"Signed LHP B.J. Ryan, RHP Rodrigo Lopez, OF Luis Matos and 2B Jerry Hairston to one-year contracts."
2005-01-18,Boston Red Sox Agreed to terms with INF Mark Bellhorn and RHP Bronson Arroyo on one-year contracts.
2005-01-18,Chicago Cubs Agreed to terms with RHP Kyle Farnsworth and OF Corey Patterson on one-year contracts.
2005-01-18,Signed C Michael Barrett to a three-year contract.
2005-01-18,Agreed to terms with RHP Scott Williamson on a minor league contract with an invitation to Spring Training.
2005-01-18,Chicago White Sox Agreed to terms with RHP Luis Vizcaino on a one-year contract.
2005-01-18,Cleveland Indians Designated INF Corey Smith for assignment.
2005-01-18,Signed INF Alex Cora to a two-year contract.
2005-01-18,Colorado Rockies Agreed to terms with RHP Jason Jennings on a two-year contract with a third-year club option and LHP Joe Kennedy to a one-year deal.
2005-01-18,Kansas City Royals Signed INF Denny Hocking to a minor league contract with an invitation to Spring Training.
2005-01-18,New York Mets Signed RHP Roberto Hernandez to a minor league contract with an invitation to Spring Training.
2005-01-18,Oakland Athletics Agreed to terms with RHP Octavio Dotel and OF Bobby Kielty on one-year contracts.
2005-01-18,"Philadelphia Phillies Agreed to terms with SS Jimmy Rollins, INF Placido Polanco and RHP Vicente Padilla on one-year contracts."
2005-01-18,Pittsburgh Pirates Agreed to terms with RHP Josh Fogg and OF/1B Craig Wilson on one-year contracts.
2005-01-18,"San Diego Padres Agreed to terms with RHP Joe Dawley, RHP Brian Falkenborg, RHP Danny Patterson and C Michel Hernandez on minor league contracts with invitations to Spring Training."
2005-01-18,Agreed to terms with 3B Sean Burroughs on a one-year contract.
2005-01-18,Seattle Mariners Signed LHP Ron Villone to a two-year contract.
2005-01-18,St. Louis Cardinals Agreed to terms with LHP Rick Ankiel on a one-year contract.
2005-01-18,Tampa Bay Devil Rays Signed OF Danny Bautista to a one-year contract and designated C Pete Laforest for assignment.
2005-01-18,Texas Rangers Agreed to terms with OF Gary Matthews Jr. on a one-year contract.
2005-01-19,Arizona Diamondbacks Signed RHP Jose Jimenez to a minor league contract with an invitation to Spring Training.
2005-01-19,Atlanta Braves Signed OF Brian Jordan to a one-year contract.
2005-01-19,Baltimore Orioles Signed LHP Tony Saunders to a minor league contract with an invitation to Spring Training.
2005-01-19,"Chicago White Sox Agreed to terms with C Raul Casanova, C Chris Widger, INF Pablo Ozuna, INF Jorge Toca and OF Tony Alvarez on minor league contracts with invitations to Spring Training."
2005-01-19,Milwaukee Brewers Signed RHP Ricky Bottalico and RHP Brooks Kieschnick to one-year contracts.
2005-01-19,Philadelphia Phillies Signed IF/OF Jose Offerman to minor league contract with an invitation to Spring Training.
2005-01-19,"Tampa Bay Devil Rays Agreed to terms with OF Dee Brown, OF Marty Cordova, LHP Mark Guthrie, INF Shane Halter and RHP Brian Sweeney on minor league contracts with invitations to Spring Training."
2005-01-19,Texas Rangers Agreed to terms with RHP Carlos Almanzar on a one-year contract and signed INF Mark DeRosa to a minor league contract with an invitation to Spring Training.
2005-01-19,Washington Nationals Signed RHP Antonio Osuna and RHP Esteban Loaiza to one-year contracts; Designated RHP Sun-Woo Kim for assignment.
2005-01-20,Atlanta Braves Signed 2B Marcus Giles to a one-year contract.
2005-01-20,"Chicago Cubs Signed LHP Jimmy Anderson, LHP Eddie Oropesa, C Casey Kopitzke, C Jose Reyes, INF Danny Klassen, INF Cody Ransom, OF Peter Bergeron, OF Angel Echevarria, OF Calvin Murray and OF Rene Reyes to minor league contracts with invitations to Spring Training; Invited minor league RHP Jermaine Van Buren, minor league OF Adam Greenberg and Cuban expat LHP Raul Valdez to Spring Training."
2005-01-20,Kansas City Royals Signed RHP Steve Stemle to a minor league contract with an invitation Spring Training; Invited minor league OF Alan Moye to Spring Training.
2005-01-20,Tampa Bay Devil Rays Signed 2B Roberto Alomar to a one-year contract.
2005-01-21,Baltimore Orioles Designated RHP Dave Borkowski and RHP Brian Forystek for assignment.
2005-01-21,Signed RHP Steve Reed to a one-year contract with a club option for 2006 and purchased the contract of INF Chris Gomez from Triple-A Ottawa.
2005-01-21,Cleveland Indians Signed INF/OF Casey Blake to a two-year contract through 2006 with a club option for 2007.
2005-01-21,Colorado Rockies Invited minor league RHP Mike Esposito and LHP Justin Hampson to Spring Training.
2005-01-21,Houston Astros Signed RHP Roger Clemens to a one-year contract.
2005-01-21,"Los Angeles Angels Agreed to terms with INF Lou Merloni on a one-year minor league contract; invited RHP Von Stertzbach and RHP Bob Zimmerman to Spring Training; announced that RHP Greg Jones will not attend Spring Training, recovering from shoulder surgery."
2005-01-21,New York Mets Sold the contract of LHP Pedro Feliciano to the Fukuoka Daiei Hawks of the Japanese Pacific League.
2005-01-21,Philadelphia Phillies Claimed RHP Edwin Moreno off waivers from the Texas Rangers.
2005-01-21,Pittsburgh Pirates Signed RHP Albie Lopez to a minor league contract with an invitation to Spring Training.
2005-01-21,San Diego Padres Agreed to terms with RHP Steve Sparks on a minor league contract with an invitation to Spring Training.
2005-01-23,Houston Astros Signed LHP John Franco to a one-year contract.
2005-01-24,Arizona Diamondbacks Signed 1B Tony Clark to a one-year contract.
2005-01-24,Cleveland Indians Signed RHP Jake Westbrook to a two-year contract through 2006 with a club option for 2007.
2005-01-24,Tampa Bay Devil Rays Outrighted C Pete Laforest to Triple-A Durham with an invitation to Spring Training and agreed to terms with OF Chris Singleton on a minor league contract with an invitation to Spring Training.
2005-01-25,Los Angeles Dodgers Sent OF Henri Stanley outright to Triple-A Las Vegas and invited him to Spring Training.
2005-01-25,Minnesota Twins Signed LHP C.J. Nitkowski to a minor league contract with an invitation to Spring Training.
2005-01-25,Pittsburgh Pirates Signed OF Ben Grieve to a minor league contract with an invitation to Spring Training.
2005-01-25,"Seattle Mariners Signed RHP Aaron Sele, LHP Nate Bland, RHP Dan Reichert, C Kit Pellow, INF Mickey Lopez, INF Ramon Santiago, RHP Rett Johnson, RHP Masao Kida, C Ryan Christianson and C Wiki Gonzalez to minor league contracts with invitations to Spring Training; Invited INF Adam Jones, RHP Felix Hernandez and 2004 draft pick SS Matt Tuiasosopo to Spring Training."
2005-01-26,Florida Marlins Signed 1B Carlos Delgado to a four-year contract.
2005-01-26,Seattle Mariners Designated RHP Aaron Looper for assignment.
2005-01-26,Signed Cuban expat INF Yuniesky Betancourt to a Major League contract. Length of the contract was not immediately disclosed.
2005-01-26,"Tampa Bay Devil Rays Invited minor league RHP Chad Orvella to Spring Training; Sent RHP John Webb outright to Triple-A Durham with an invitation to Spring Training; Agreed to terms with RHP Doug Waechter, LHP Scott Kazmir and LHP Chris Seddon on one-year contracts and 2004 draft pick RHP Jeff Niemann to a five-year contract."
2005-01-27,Arizona Diamondbacks Agreed to terms with RHP Mike Koplove on a two-year contract.
