date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2014-02-08,Los Angeles Dodgers placed LHP Scott Elbert on the 60-day disabled list.,TRUE,2014,Los Angeles Dodgers,Scott Elbert,placed,60,FALSE,NA
2014-02-13,Washington Nationals placed RHP Erik Davis on the 60-day disabled list.,TRUE,2014,Washington Nationals,Erik Davis,placed,60,FALSE,NA
2014-02-17,Oakland Athletics placed LHP Eric O'Flaherty on the 60-day disabled list.,TRUE,2014,Oakland Athletics,Eric O'Flaherty,placed,60,FALSE,NA
2014-03-03,Texas Rangers placed LHP Derek Holland on the 60-day disabled list.,TRUE,2014,Texas Rangers,Derek Holland,placed,60,FALSE,NA
2014-03-07,San Diego Padres placed LHP Cory Luebke on the 60-day disabled list.,TRUE,2014,San Diego Padres,Cory Luebke,placed,60,FALSE,NA
2014-03-15,"Los Angeles Dodgers placed LHP Onelki Garcia on the 60-day disabled list retroactive to March 14, 2014.",TRUE,2014,Los Angeles Dodgers,Onelki Garcia,placed,60,TRUE,2014-03-14
2014-03-19,Arizona Diamondbacks placed LHP Matt Reynolds on the 15-day disabled list.,TRUE,2014,Arizona Diamondbacks,Matt Reynolds,placed,15,FALSE,NA
2014-03-19,Arizona Diamondbacks placed LF Cody Ross on the 15-day disabled list.,TRUE,2014,Arizona Diamondbacks,Cody Ross,placed,15,FALSE,NA
2014-03-19,Los Angeles Dodgers placed RHP Josh Beckett on the 15-day disabled list.,TRUE,2014,Los Angeles Dodgers,Josh Beckett,placed,15,FALSE,NA
2014-03-19,Los Angeles Dodgers placed RHP Chad Billingsley on the 15-day disabled list.,TRUE,2014,Los Angeles Dodgers,Chad Billingsley,placed,15,FALSE,NA
2014-03-19,Los Angeles Dodgers placed CF Matt Kemp on the 15-day disabled list.,TRUE,2014,Los Angeles Dodgers,Matt Kemp,placed,15,FALSE,NA
2014-03-20,Oakland Athletics placed RHP Jarrod Parker on the 60-day disabled list.,TRUE,2014,Oakland Athletics,Jarrod Parker,placed,60,FALSE,NA
2014-03-21,Washington Nationals placed RHP Ross Ohlendorf on the 15-day disabled list.,TRUE,2014,Washington Nationals,Ross Ohlendorf,placed,15,FALSE,NA
2014-03-23,"Atlanta Braves placed RHP Gavin Floyd on the 15-day disabled list retroactive to March 21, 2014.",TRUE,2014,Atlanta Braves,Gavin Floyd,placed,15,TRUE,2014-03-21
2014-03-23,"Atlanta Braves placed RHP Brandon Beachy on the 15-day disabled list retroactive to March 21, 2014.",TRUE,2014,Atlanta Braves,Brandon Beachy,placed,15,TRUE,2014-03-21
2014-03-23,"Atlanta Braves placed RHP Kris Medlen on the 15-day disabled list retroactive to March 21, 2014.",TRUE,2014,Atlanta Braves,Kris Medlen,placed,15,TRUE,2014-03-21
2014-03-23,"Atlanta Braves placed LHP Mike Minor on the 15-day disabled list retroactive to March 21, 2014.",TRUE,2014,Atlanta Braves,Mike Minor,placed,15,TRUE,2014-03-21
2014-03-23,"Atlanta Braves placed LHP Jonny Venters on the 15-day disabled list retroactive to March 21, 2014.",TRUE,2014,Atlanta Braves,Jonny Venters,placed,15,TRUE,2014-03-21
2014-03-26,Texas Rangers placed RF Engel Beltre on the 60-day disabled list.,TRUE,2014,Texas Rangers,Engel Beltre,placed,60,FALSE,NA
