date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2008-02-21,placed LHP Bobby Livingston on the 60-day disabled list recovering from September 2007 left shoulder surgery.,TRUE,2008,Cincinnati Reds,Bobby Livingston,placed,60,FALSE,NA
2008-03-12,transferred RHP Andrew Brackman to the 60-day disabled list.,TRUE,2008,New York Yankees,Andrew Brackman,transferred,60,FALSE,NA
2008-03-13,Placed RHP Curt Schilling on the 60-day disabled list with degeneration in his right biceps tendon.,TRUE,2008,Boston Red Sox,Curt Schilling,placed,60,FALSE,NA
2008-03-17,Toronto Blue Jays Claimed LHP Bill Murphy off waivers from the Arizona Diamondbacks and placed RHP Casey Janssen on the 60-day disabled list.,TRUE,2008,Toronto Blue Jays,Bill Murphy,placed,60,FALSE,NA
2008-03-19,Placed RHP Felipe Paulino on the 15-day disabled list with a pinched nerve in his upper right arm,TRUE,2008,Houston Astros,Felipe Paulino,placed,15,FALSE,NA
2008-03-20,Milwaukee Brewers Placed LHP Randy Choate on the 15-day disabled list with a broken left hand.,TRUE,2008,Milwaukee Brewers,Randy Choate,placed,15,FALSE,NA
2008-03-20,Placed RHP Shawn Hill on the 15-day disabled list with a sore right forearm,TRUE,2008,Washington Nationals,Shawn Hill,placed,15,FALSE,NA
2008-03-20,Placed OF Wily Mo Pena on the 15-day disabled list with a left oblique strain,TRUE,2008,Washington Nationals,Wily Mo Pena,placed,15,FALSE,NA
2008-03-20,Placed RHP Ryan Wagner on the 15-day disabled list recovering from right shoulder surgery,TRUE,2008,Washington Nationals,Ryan Wagner,placed,15,FALSE,NA
2008-03-21,Atlanta Braves Placed RHP Anthony Lerew on the 60-day disabled list.,TRUE,2008,Atlanta Braves,Anthony Lerew,placed,60,FALSE,NA
2008-03-22,"Atlanta Braves Moved Mike Gonzalez from the 60-day disabled list to the 15-day DL, retroactive to March 21.",TRUE,2008,Atlanta Braves,Mike Gonzalez,transferred,60,TRUE,2008-03-21
2008-03-22,"Placed INF Omar Infante (recovering from broken hand) on the 15-day disabled list, retroactive to March 21.",TRUE,2008,Atlanta Braves,Omar Infante,placed,15,TRUE,2008-03-21
2008-03-22,Placed RHP Carl Pavano on the 60-day disabled list.,TRUE,2008,New York Yankees,Carl Pavano,placed,60,FALSE,NA
2008-03-23,"New York Mets Placed OF Moises Alou on the 15-day disabled list, retroactive to March 21, recovering from March 2008 hernia surgery",TRUE,2008,New York Mets,Moises Alou,placed,15,TRUE,2008-03-21
2008-03-23,"Placed RHP Ambiorix Burgos on the 15-day disabled list, retroactive to March 21, recovering from August 2007 Tommy John surgery",TRUE,2008,New York Mets,Ambiorix Burgos,placed,15,TRUE,2008-03-21
2008-03-23,"Placed LHP Jason Vargas on the 15-day disabled list, retroactive to March 21, recovering from March 2008 left hip surgery.",TRUE,2008,New York Mets,Jason Vargas,placed,15,TRUE,2008-03-21
2008-03-24,"Placed RHP Josh Beckett on the 15-day disabled list, retroactive to March 19, with a lower back strain",TRUE,2008,Boston Red Sox,Josh Beckett,placed,15,TRUE,2008-03-19
2008-03-24,"Placed RHP Sergio Mitre, RHP Harvey Garcia, RHP Henry Owens, RHP Anibal Sanchez and RHP Josh Johnson on 15-day disabled list.",TRUE,2008,Florida Marlins,Sergio Mitre,placed,15,FALSE,NA
2008-03-24,"Philadelphia Phillies Placed RHP Brad Lidge on the 15-day disabled list, retroactive to March 21, recovering from February 2008 right knee surgery",TRUE,2008,Philadelphia Phillies,Brad Lidge,placed,15,TRUE,2008-03-21
2008-03-25,placed RHP Angel Guzman on the 60-day disabled list,TRUE,2008,Chicago Cubs,Angel Guzman,placed,60,FALSE,NA
2008-03-25,"Placed INF Kazuo Matsui on the 15-day disabled list today, retroactive to March 21.",TRUE,2008,Houston Astros,Kazuo Matsui,placed,15,TRUE,2008-03-21
2008-03-25,Oakland Athletics Placed 3B Eric Chavez and RHPs Chad Gaudin and Kiko Calero on the 15-day disabled list.,TRUE,2008,Oakland Athletics,Eric Chavez,placed,15,FALSE,NA
2008-03-25,"St. Louis Cardinals Placed RHPs Chris Carpenter (right elbow), Matt Clement (right shoulder), Joel Pineiro (right shoulder) and Josh Kinney (right elbow) and LHPs Mark Mulder (left shoulder) and Tyler Johnson (left shoulder) and OF Juan Encarnacion (left orbital fracture) on the 15-day disabled list, retroactive to March 21.",TRUE,2008,St. Louis Cardinals,Chris Carpenter,placed,15,TRUE,2008-03-21
