date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2001-03-09,Baltimore Orioles Albert Belle: Placed Albert Belle (OF) on the 60-day disabled list.,TRUE,2001,Baltimore Orioles,Albert Belle,placed,60,FALSE,NA
2001-03-23,Montreal Expos Anthony Telford: RHP Carl Pavano placed on the team's 15-day DL,TRUE,2001,Montreal Expos,Anthony Telford,placed,15,FALSE,NA
2001-03-23,St. Louis Cardinals Garrett Stephenson: RHP Garrett Stephenson placed ont he 15-day disabled list with right medial elbow strain,TRUE,2001,St. Louis Cardinals,Garrett Stephenson,placed,15,FALSE,NA
2001-03-23,Carlos Hernandez: C Carlos Hernandez placed on the 15-day disabled list with post-lower back surgery.,TRUE,2001,St. Louis Cardinals,Carlos Hernandez,placed,15,FALSE,NA
2001-03-23,Jason Christiansen: LHP Jason Christiansen placed on the 15-day disabled list with post-left shoulder surgery,TRUE,2001,St. Louis Cardinals,Jason Christiansen,placed,15,FALSE,NA
2001-03-23,Toronto Blue Jays Jeff Frye: Placed 2B Jeff Frye on 15-day DL.,TRUE,2001,Toronto Blue Jays,Jeff Frye,placed,15,FALSE,NA
2001-03-23,Andy Thompson: Placed OF Andy Thompson on 15-day DL,TRUE,2001,Toronto Blue Jays,Andy Thompson,placed,15,FALSE,NA
2001-03-23,Mike Sirotka: Placed LHP Mike Sirtoka on 15-day DL,TRUE,2001,Toronto Blue Jays,Mike Sirotka,placed,15,FALSE,NA
2001-03-25,St. Louis Cardinals Bobby Bonilla: IF Bobby Bonilla placed on 15-day disabled list with pulled left hamstring,TRUE,2001,St. Louis Cardinals,Bobby Bonilla,placed,15,FALSE,NA
2001-03-27,Chicago White Sox James Baldwin: Placed pitcher James Baldwin on the 15-day disabled list retroactive to March 23.,TRUE,2001,Chicago White Sox,James Baldwin,placed,15,TRUE,2001-03-23
2001-03-27,Bill Simas: Placed pitcher Bill Simas on the 15-day disabled list retroactive to March 23.,TRUE,2001,Chicago White Sox,Bill Simas,placed,15,TRUE,2001-03-23
