date,transaction
2006-01-09,Signed LHP Trever Miller to a one-year contract with a vesting option for 2007.
2006-01-09,Milwaukee Brewers Designated 3B Russell Branyan for assignment.
2006-01-09,Oakland Athletics Signed OF Bobby Kielty to a one-year contract.
2006-01-09,"Seattle Mariners Signed RHP Kevin Appier and INF Fernando Vina to Minor League contracts, including invitations to Spring Training."
2006-01-09,"St. Louis Cardinals Signed RHP Blain Neal and INFs Dave Berg and Kit Pellow to Minor League contracts with invitations to Spring Training; Invited nonroster RHPs Andy Cavazos, Brian Falkenborg, LHP Randy Leek, C Gabe Johnson to Spring Training."
2006-01-09,Washington Nationals Signed RHP Luis Ayala to a two-year contract and OF Michael Tucker to a one-year contract.
2006-01-10,"Atlanta Braves Signed RHP Travis Smith, INF Cesar Crespo, OF David Kelton and OF Michael Ryan to Minor League contracts with invitations to Spring Training; Invited nonroster players RHPs Kevin Barry and Chad Paronto, Cs Steve Pyzik, Jarrod Saltalamacchia and Clint Simmons and 2B Jonathan Schuerholz to Spring Training."
2006-01-10,"Detroit Tigers Signed RHPs Matt Mantei, Chad Durbin, Kevin Hodge and Lee Gardner, C Brian Peterson, INF Josh Phelps, and OF Reggie Taylor to Minor League contracts with invitations to Spring Training; Invited RHP Tim Crabtree, RHP Colby Lewis, LHP Bobby Seay, C Mike Rabelo, C Chris Robinson, C Danilo Sanchez, C Max St. Pierre, INF Mike Hessman, INF Kevin Hooper, and OF Alexis Gomez to Spring Training."
2006-01-10,Minnesota Twins Signed LHP Darrell May to a Minor League contract with an invitation to Spring Training.
2006-01-10,New York Mets Signed RHP Mike Pelfrey to a four-year contract and C Ramon Castro to a one-year contract.
2006-01-10,San Diego Padres Signed LHP Shawn Estes to a one-year contract.
2006-01-10,Tampa Bay Devil Rays Signed INF Ty Wigginton to a one-year contract.
2006-01-11,"Baltimore Orioles Signed RHPs Ricky Bottalico, Brooks Kieschnick and 3B Fernando Tatis to Minor League contracts and invited them to Spring Training."
2006-01-11,Boston Red Sox Signed INF Tony Graffanino to a one-year contract.
2006-01-11,Cleveland Indians Invited nonroster C Armando Camacaro to Spring Training.
2006-01-11,Detroit Tigers Signed LHP Mike Maroth to a two-year contract and 3B Brandon Inge to a one-year contract.
2006-01-11,Houston Astros Signed RHP Joe Valentine to a Minor League contract with an invitation to Spring Training.
2006-01-11,"Philadelphia Phillies Signed RHP Clay Condrey, RHP Jeremy Cummings, RHP Aaron Myette, LHP Matt White, C Dusty Wathan, INF Bobby Scales, INF Joe Thurston, OF Shawn Garrett and OF Peter Bergeron to Minor League contracts with invitations to Spring Training; Invited RHP Ryan Cameron, RHP Travis Minix, RHP Brian Sanches, LHP Cole Hamels, LHP Gio Gonzalez, RHP Aquilino Lopez, 3B Chris Coste, C Tim Gradoville, and C Jason Jaramillo to Spring Training."
2006-01-11,"Tampa Bay Devil Rays Signed RHP Jack Cressend, RHP Travis Driskill, RHP Bart Miadich, RHP Justin Miller, RHP Jason Childers, LHP Wayne Franklin, LHP Mark Malaska, INF Greg Norton, 1B Kevin Witt, C Ryan Christianson, C Mike Rose to Minor League contracts with invitations to Spring Training; Invited nonroster players RHP Juan Salas, RHP Tony Peguero, LHP Ruddy Lugo, C Chairon Isenia, INF Luis Ordaz and OF Darnell McDonald to Spring Training."
2006-01-11,"Signed RHP Shinji Mori to a two-year contract through 2007, with a club option to extend for two years through 2009."
2006-01-11,"Toronto Blue Jays Signed LHP Matt Blank, C Mike Mahoney, INF Luis Figueroa and OF Wayne Lydon to Minor League contracts with invitations to Spring Training; Invited nonroster players LHP Adrian Burnside, LHP David Purcey, LHP Ricardo Romero, C Robinson Diaz, C Erik Kratz, C Curtis Thigpen, 1B Kevin Barker and OF Chad Mottola to Spring Training."
2006-01-11,Signed RHP Ben Weber to a Minor League contract with an invitation to Spring Training.
2006-01-12,Arizona Diamondbacks Signed LHP Terry Mulholland to a Minor League contract and invited him to Spring Training.
2006-01-12,Baltimore Orioles Signed LHP Franklyn Gracesqui and 1B Kevin Millar to one-year contracts and designated LHP Brian Burres for assignment.
2006-01-12,Boston Red Sox Signed RHP Julian Tavarez to a two-year contract with a vesting option for 2008.
2006-01-12,"Cincinnati Reds Signed RHP Grant Balfour to a one-year contract and designated RHP Josh Hancock for assignment; Signed INF Frank Menechino, C Ryan Hanigan and C Steve Torrealba to Minor League contracts with invitations to Spring Training."
2006-01-12,Cleveland Indians Signed 1B Eduardo Perez to a one-year contract with a club option for 2007 and designated LHP Brian Tallet for assignment.
2006-01-12,Milwaukee Brewers Invited non-roster LHP Mitch Stetter to Major League Spring Training.
2006-01-12,"Agreed to terms with right-hander Matt Wise on a two-year, $1.7 million contract."
2006-01-12,Philadelphia Phillies Signed RHP Brett Myers to a one-year contract.
2006-01-12,"San Diego Padres Signed RHP Andy Ashby, RHP Eric Junge, C Jason Hill, INF Manny Alexander, 3B Justin Leone, and OF Eric Valent to Minor League contracts with invitations to Spring Training; Invited LHP Erick Burke and RHP Mike Thompson to Spring Training."
2006-01-12,Signed LHP Alan Embree to a Minor League contract with an invitation to Spring Training.
2006-01-12,"Seattle Mariners Signed RHP Julio Mateo to a two-year contract, and designated RHP Scott Atchison for assignment."
2006-01-12,"Tampa Bay Devil Rays Signed RHP Dan Miceli to a two-year contract through 2007, with a club option for 2008; Designated RHP Franklin Nunez for assignment."
2006-01-12,"Texas Rangers Signed RHP Joaquin Benoit to one-year deal for 2006, avoiding arbitration."
2006-01-13,"Arizona Diamondbacks Signed right-hander Brandon Webb to a contract extension through 2009, with an option for 2010. Agreed to a one-year deal with right-hander Luis Vizcaino."
2006-01-13,Atlanta Braves Signed RHP Jeff Bennett to a Minor League contract with an invitation to Spring Training.
2006-01-13,Baltimore Orioles Designated 1B Walter Young for assignment.
2006-01-13,Colorado Rockies Signed RHP Aaron Cook to a two-year contract through 2007 with an option for 2008.
2006-01-13,Kansas City Royals Sent RHP Kyle Snyder outright to Triple-A Omaha; Sent RHP Devon Lowery outright to Double-A Wichita.
2006-01-14,Los Angeles Angels Signed INF Chone Figgins to three-year contract; signed OF Juan Rivera to two-year contract.
2006-01-14,"Los Angeles Dodgers Signed RHP Aaron Sele to a Minor League contract and invited him to Spring Training; Designated RHP Joel Hanrahan for assignment; Invited nonroster players RHP Chad Billingsley, RHP Justin Orenduff; LHP Eric Stults, C Edwin Bellorin, INF Tony Abreu and OF Matt Kemp to Spring Training."
2006-01-14,Acquired RHP Danys Baez and RHP Lance Carter from the Devil Rays in exchange for RHP Edwin Jackson and LHP Chuck Tiffany.
2006-01-14,Tampa Bay Devil Rays Acquired RHP Edwin Jackson and LHP Chuck Tiffany from the Dodgers in exchange for RHP Danys Baez and RHP Lance Carter.
2006-01-16,"Cincinnati Reds Agreed to terms with OF Austin Kearns on a one-year contract for the 2006 season, avoiding arbitration."
2006-01-16,"Florida Marlins Agreed to terms with LHP Dontrelle Willis on a one-year contract, avoiding arbitration."
2006-01-16,Los Angeles Angels Signed C Jose Molina to two-year contract; signed RHP John Lackey to one-year contract.
2006-01-16,Philadelphia Phillies Signed OF Jason Michaels to a one-year contract.
2006-01-16,Pittsburgh Pirates Sent infielder J.J. Furmaniak outright to Triple-A Indianapolis and invited him to Spring Training.
2006-01-16,"Signed OF/1B Craig Wilson and LHP Oliver Perez to one-year contracts, avoiding arbitration."
