date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2006-03-02,Placed RHP Chin-hui Tsao on the 60-day disabled list.,TRUE,2006,Colorado Rockies,Chin hui Tsao,placed,60,FALSE,NA
2006-03-23,"New York Mets Placed RHP Juan Padilla on the 60-day disabled list, recovering from March 2006 Tommy John surgery.",TRUE,2006,New York Mets,Juan Padilla,placed,60,FALSE,NA
2006-03-25,Placed INF Jeff Bagwell on the 15-day disabled list.,TRUE,2006,Houston Astros,Jeff Bagwell,placed,15,FALSE,NA
2006-03-27,Placed RHP Runelvys Hernandez on the 15-day disabled list due to lack of stamina.,TRUE,2006,Kansas City Royals,Runelvys Hernandez,placed,15,FALSE,NA
2006-03-27,"Washington Nationals Placed RHP Luis Ayala (right elbow), RHP Ryan Drese (right shoulder), RHP Brian Lawrence (right shoulder), C/1B Robert Fick (right elbow) and SS Cristian Guzman (right shoulder) on the 15-day disabled list retroactive to March 24.",TRUE,2006,Washington Nationals,Luis Ayala,placed,15,TRUE,2006-03-24
2006-03-28,Transferred RHP Aaron Rakers to the 60-day disabled list with a torn right labrum.,TRUE,2006,Baltimore Orioles,Aaron Rakers,transferred,60,FALSE,NA
2006-03-28,"Placed RHP Mark Prior (right subscapularis strain) and RHP Kerry Wood (right shoulder arthroscopy) on the 15-day disabled list, retroactive to March 27.",TRUE,2006,Chicago Cubs,Mark Prior,placed,15,TRUE,2006-03-27
2006-03-28,Placed SS Josh Wilson on the 60-day disabled list with a broken left big toe.,TRUE,2006,Colorado Rockies,Josh Wilson,placed,60,FALSE,NA
2006-03-28,Placed LHP Bobby Madritsch on the 60-day disabled list (recovering from November 2005 shoulder surgery).,TRUE,2006,Kansas City Royals,Bobby Madritsch,placed,60,FALSE,NA
2006-03-29,Placed LHP Dave Gassner on the 15-day disabled list with a left elbow strain,TRUE,2006,Tampa Bay Devil Rays,Dave Gassner,placed,15,FALSE,NA
2006-03-29,Placed RHP Chris Booker on the 15-day disabled list (left knee inflammation),TRUE,2006,Philadelphia Phillies,Chris Booker,placed,15,FALSE,NA
2006-03-29,Washington Nationals Transferred RHP Luis Ayala to the 60-day disabled list with a torn ligament in his right elbow and RHP Brian Lawrence to the 60-day disabled list recovering from February 2006 right shoulder surgery,TRUE,2006,Washington Nationals,Luis Ayala,transferred,60,FALSE,NA
2006-03-30,"Placed RHP Ben Sheets on the 15-Day Disabled List, retroactive to March 24 (right posterior shoulder strain).",TRUE,2006,Milwaukee Brewers,Ben Sheets,placed,15,TRUE,2006-03-24
2006-03-31,"placed LHP John Foster (strained left elbow), LHP Macay McBride (strained left forearm), LHP Mike Hampton (Tommy John surgery) and OF Kelly Johnson (sprained right elbow) on the 15-day disabled list, retroactive to March 24.",TRUE,2006,Atlanta Braves,John Foster,placed,15,TRUE,2006-03-24
2006-03-31,Placed RHP Grant Balfour on the 60-day disabled list recovering from September 2005 shoulder surgery.,TRUE,2006,Cincinnati Reds,Grant Balfour,placed,60,FALSE,NA
2006-03-31,"Florida Marlins Placed LHP Michael Megrew on the 15-day disabled list, retroactive active to March 24, with left-shoulder tendinitis",TRUE,2006,Florida Marlins,Michael Neu,placed,15,TRUE,2006-03-24
2006-03-31,"Pittsburgh Pirates Reassigned non-roster invitee RHP Brandon Duckworth to Minor League camp, optioned OF Jody Gerut to Triple-A Indianapolis, purchased the contract of INF/OF Jose Hernandez from Triple-A Indianapolis and placed RHP Bryan Bullington on the 60-day disabled list recovering from October 2005 shoulder surgery",TRUE,2006,Pittsburgh Pirates,Brandon Duckworth,placed,60,FALSE,NA
2006-03-31,"Placed C Gregg Zaun on the 15-day Disabled List, retroactive to March 24.",TRUE,2006,Toronto Blue Jays,Gregg Zaun,placed,15,TRUE,2006-03-24
2006-04-01,"Arizona Diamondbacks Placed RHP Brandon Medders on the 15-day disabled list, retroactive to March 24, with a pulled back muscle.",TRUE,2006,Arizona Diamondbacks,Brandon Medders,placed,15,TRUE,2006-03-24
2006-04-01,"Placed RHP Todd Williams and LHP John Parrish on the 15-day disabled list, both retroactive to March 24.",TRUE,2006,Baltimore Orioles,Todd Williams,placed,15,TRUE,2006-03-24
2006-04-01,Boston Red Sox Placed LHP David Wells and 1B Hee-Seop Choi on the 15-day disabled list.,TRUE,2006,Boston Red Sox,David Wells,placed,15,FALSE,NA
2006-04-01,Chicago Cubs Purchased the contract of RHP Wade Miller from Triple-A Iowa and placed him on the 15-day disabled list recovering from September 2005 shoulder surgery.,TRUE,2006,Chicago Cubs,Wade Miller,placed,15,FALSE,NA
2006-04-01,Placed RHP Dustin Hermanson on the 15-day disabled list with inflammation in his lower back.,TRUE,2006,Chicago White Sox,Dustin Hermanson,placed,15,FALSE,NA
2006-04-01,"Purchased the contract of IF/OF Andy Abad and signed LHP Darrell May to a Minor League contract Placed C Jason LaRue on the 15-day disabled list, retroactive to March 26, recovering from March 2006 right knee surgery",TRUE,2006,Cincinnati Reds,Andy Abad,placed,15,TRUE,2006-05-20
2006-04-01,Placed RHP Paul Wilson on the 15-day disabled list recovering from June 2005 right shoulder surgery.,TRUE,2006,Cincinnati Reds,Paul Wilson,placed,15,FALSE,NA
2006-04-01,placed RHP Craig Dingman on the 15-day disabled list and RHP Troy Percival on the 60-day disabled list.,TRUE,2006,Detroit Tigers,Craig Dingman,placed,15,FALSE,NA
2006-04-01,Placed RHP Mike MacDougal (shoulder) and LHP Mark Redman (knee) on the 15-day disabled list and placed RHP Zack Greinke (psychological) on the 60-day disabled list.,TRUE,2006,Kansas City Royals,Mike MacDougal,placed,15,FALSE,NA
2006-04-01,"Placed RHP Aaron Small and RHP Octavio Dotel on the 15-day disabled list, retroactive to March 24, and placed RHP Carl Pavano on the disabled list, retroactive to March 28.",TRUE,2006,New York Yankees,Aaron Small,placed,15,TRUE,2006-03-24
2006-04-01,"Placed CF Mike Cameron (strained left oblique), RHP Doug Brocail, retroactive to March 24 (recovering from a March 2006 coronary angioplasty), and 1B Ryan Klesko (strained left shoulder) on the 15-day disabled list.",TRUE,2006,San Diego Padres,Mike Cameron,placed,15,TRUE,2006-03-24
2006-04-01,San Francisco Giants Placed RHP Armando Benitez on the 15-day disabled list with left knee bursitis,TRUE,2006,San Francisco Giants,Armando Benitez,placed,15,FALSE,NA
2006-04-01,Placed OF Chris Snelling on the 15-day disabled list (recovering from knee surgery),TRUE,2006,Seattle Mariners,Chris Snelling,placed,15,FALSE,NA
2006-04-01,"placed RHP Shinji Mori on the 60-day disabled list with a torn labrum, OF Rocco Baldelli on the 15-day disabled list retroactive to March 24, and 3B Sean Burroughs on the 15-day disabled list retroactive to March 30.",TRUE,2006,Tampa Bay Devil Rays,Rocco Baldelli,placed,60,TRUE,2006-03-24
2006-04-01,"Placed OF Gary Matthews Jr. (strained rib cage), retroactive to March 24 and RHP Adam Eaton (strained right middle finger) on the 15-day disabled list, retroactive March 30",TRUE,2006,Texas Rangers,Gary Matthews,placed,15,TRUE,2006-03-24
2006-04-01,placed RHP A.J. Burnett on the 15-day disabled list.,TRUE,2006,Toronto Blue Jays,A.J. Burnett,placed,15,FALSE,NA
2006-04-01,Washington Nationals Placed RHP Pedro Astacio on the 15-day disabled list with a right forearm strain,TRUE,2006,Washington Nationals,Pedro Astacio,placed,15,FALSE,NA
