date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2021-02-17,Boston Red Sox placed C Kevin Plawecki on the 10-day injured list.,TRUE,2021,Boston Red Sox,Kevin Plawecki,placed,10,FALSE,NA
2021-02-17,Tampa Bay Rays placed LHP Jalen Beeks on the 60-day injured list.,TRUE,2021,Tampa Bay Rays,Jalen Beeks,placed,60,FALSE,NA
2021-02-17,Pittsburgh Pirates placed RHP Jose Soriano on the 60-day injured list.,TRUE,2021,Pittsburgh Pirates,Jose Morban,placed,60,FALSE,NA
2021-02-17,San Francisco Giants placed RHP John Brebbia on the 60-day injured list.,TRUE,2021,San Francisco Giants,John Brebbia,placed,60,FALSE,NA
2021-02-17,Miami Marlins placed RHP Jeff Brigham on the 60-day injured list.,TRUE,2021,Miami Marlins,Jeff Brigham,placed,60,FALSE,NA
2021-02-17,Philadelphia Phillies placed RHP Seranthony Dominguez on the 60-day injured list.,TRUE,2021,Philadelphia Phillies,Seranthony Dominguez,placed,60,FALSE,NA
2021-02-17,Chicago Cubs placed LHP Kyle Ryan on the 10-day injured list.,TRUE,2021,Chicago Cubs,Kyle Ryan,placed,10,FALSE,NA
2021-02-17,Tampa Bay Rays placed LHP Colin Poche on the 60-day injured list.,TRUE,2021,Tampa Bay Rays,Colin Poche,placed,60,FALSE,NA
2021-02-18,San Diego Padres placed RHP Mike Clevinger on the 60-day injured list.,TRUE,2021,San Diego Padres,Mike Clevinger,placed,60,FALSE,NA
2021-02-18,Seattle Mariners placed RHP Andres Munoz on the 60-day injured list.,TRUE,2021,Seattle Mariners,Andres Munoz,placed,60,FALSE,NA
2021-02-18,Boston Red Sox placed LHP Chris Sale on the 60-day injured list.,TRUE,2021,Boston Red Sox,Chris Sale,placed,60,FALSE,NA
2021-02-18,Oakland Athletics placed RHP Frankie Montas on the 10-day injured list.,TRUE,2021,Oakland Athletics,Frankie Montas,placed,10,FALSE,NA
2021-02-18,San Diego Padres placed RHP Trey Wingenter on the 60-day injured list.,TRUE,2021,San Diego Padres,Trey Wingenter,placed,60,FALSE,NA
2021-02-19,Los Angeles Dodgers placed LHP Caleb Ferguson on the 60-day injured list.,TRUE,2021,Los Angeles Dodgers,Caleb Ferguson,placed,60,FALSE,NA
2021-02-20,New York Mets placed RHP Noah Syndergaard on the 60-day injured list.,TRUE,2021,New York Mets,Noah Syndergaard,placed,60,FALSE,NA
2021-02-21,Arizona Diamondbacks placed RHP Luis Frias on the 10-day injured list.,TRUE,2021,Arizona Diamondbacks,Luis Urias,placed,10,FALSE,NA
2021-02-22,Tampa Bay Rays placed RHP Yonny Chirinos on the 60-day injured list.,TRUE,2021,Tampa Bay Rays,Yonny Chirinos,placed,60,FALSE,NA
2021-02-22,Tampa Bay Rays placed RHP Oliver Drake on the 60-day injured list.,TRUE,2021,Tampa Bay Rays,Oliver Drake,placed,60,FALSE,NA
2021-02-22,Boston Red Sox placed CF Franchy Cordero on the 10-day injured list.,TRUE,2021,Boston Red Sox,Franchy Cordero,placed,10,FALSE,NA
2021-02-22,New York Yankees placed RHP Luis Severino on the 60-day injured list.,TRUE,2021,New York Yankees,Luis Severino,placed,60,FALSE,NA
2021-02-24,Pittsburgh Pirates placed LHP Austin Davis on the 60-day injured list.,TRUE,2021,Pittsburgh Pirates,Austin Davis,placed,60,FALSE,NA
2021-02-26,Arizona Diamondbacks activated RHP Luis Frias from the 10-day injured list.,TRUE,2021,Arizona Diamondbacks,Luis Urias,activated,10,FALSE,NA
2021-02-26,San Francisco Giants placed RHP Tyler Beede on the 60-day injured list.,TRUE,2021,San Francisco Giants,Tyler Beede,placed,60,FALSE,NA
2021-02-27,Houston Astros placed RHP Justin Verlander on the 60-day injured list.,TRUE,2021,Houston Astros,Justin Verlander,placed,60,FALSE,NA
2021-02-28,Chicago Cubs activated LHP Kyle Ryan from the 10-day injured list.,TRUE,2021,Chicago Cubs,Kyle Ryan,activated,10,FALSE,NA
2021-02-28,Toronto Blue Jays placed RHP Patrick Murphy on the 60-day injured list.,TRUE,2021,Toronto Blue Jays,Dick Murphy,placed,60,FALSE,NA
2021-03-06,San Diego Padres placed LHP Jose Castillo on the 60-day injured list.,TRUE,2021,San Diego Padres,Jose Castillo,placed,60,FALSE,NA
2021-03-07,Boston Red Sox activated C Kevin Plawecki from the 10-day injured list.,TRUE,2021,Boston Red Sox,Kevin Plawecki,activated,10,FALSE,NA
2021-03-08,Milwaukee Brewers placed 2B Tim Lopes on the 60-day injured list.,TRUE,2021,Milwaukee Brewers,Tim Lopes,placed,60,FALSE,NA
2021-03-08,Houston Astros placed RHP Pedro Baez on the 10-day injured list.,TRUE,2021,Houston Astros,Pedro Baez,placed,10,FALSE,NA
2021-03-10,Cincinnati Reds placed 1B Joey Votto on the 10-day injured list.,TRUE,2021,Cincinnati Reds,Joey Votto,placed,10,FALSE,NA
2021-03-12,Pittsburgh Pirates placed RHP Blake Cederlind on the 60-day injured list.,TRUE,2021,Pittsburgh Pirates,Ed Blake,placed,60,FALSE,NA
2021-03-15,Oakland Athletics activated RHP Frankie Montas from the 10-day injured list.,TRUE,2021,Oakland Athletics,Frankie Montas,activated,10,FALSE,NA
2021-03-16,Milwaukee Brewers placed 2B Mark Mathias on the 60-day injured list.,TRUE,2021,Milwaukee Brewers,Carl Mathias,placed,60,FALSE,NA
