date,transaction
2007-01-02,Cincinnati Reds Traded INF Brendan Harris to Tampa Bay for a player to be named later.
2007-01-02,Cleveland Indians Signed INF Luis Rivas to a Minor League contract with an invitation to Spring Training; Signed INF Keith Ginter to a Minor League contract with an invitation to Spring Training.
2007-01-02,Tampa Bay Devil Rays Acquired INF Brendan Harris from the Cincinnati Reds in exchange for a PTBN or cash.
2007-01-03,Baltimore Orioles Signed 1B-OF Aubrey Huff to a three-year contract.
2007-01-03,Chicago Cubs Signed LHP Neal Cotts to a one-year contract.
2007-01-03,Kansas City Royals Designated INF Jeff Keppinger for assignment.
2007-01-03,Minnesota Twins Pitchers Sidney Ponson and Brad Voyles signed to Minor League contracts with invitations to Spring Training.
2007-01-03,New York Yankees Signed LHP Ben Kozlowski to a Minor League contract and invited him to Spring Training.
2007-01-03,"San Diego Padres Invited nonroster C Colt Morton, C Luke Carlin, C Nick Hundley and OF Mike Baxter to Spring Training; Signed C Pete Laforest to a Minor League contract and invited him to Spring Training."
2007-01-03,Seattle Mariners Signed INF Sean Burroughs to a Minor League contract.
2007-01-04,Boston Red Sox Signed RHP Joel Pineiro to a one-year contract with a mutual option for the 2008 season.
2007-01-04,Cleveland Indians Signed RHP Keith Foulke to a one-year contract with a mutual option for 2008; Designated RHP Brian Sikorski for assignment.
2007-01-04,Colorado Rockies Signed RHP Dave Veres to a Minor League contract and invited him to Spring Training.
2007-01-04,Detroit Tigers Invited nonroster OF Cameron Maybin to Spring Training.
2007-01-04,"Florida Marlins Agreed to terms and offered Spring Training invitations to INF Joe Dillon, INF John Gall, INF Zach Sorensen, INF Jason Wood, INF Scott Seabol, OF Alex Sanchez, C Chris Ashby, C Paul Hoover, OF Nick Trzesniak, RHP Roy Corcoran, RHP Nate Field, RHP Lee Gardner, RHP Mike Koplove, RHP Wes Obermueller, RHP Eddy Rodriguez, RHP Jimmy Serrano and LHP Chris George."
2007-01-04,"Extended Spring Training invitations to organizational players: OF Brett Carroll, OF Alejandro De Aza, C Brad Davis, C Brett Hayes, RHP Gabby Hernandez, RHP Jacob Marceaux, RHP Ryan Tucker, RHP Chris Volstad, LHP Aaron Thompson and LHP Sean West."
