date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2009-02-21,Placed RHP Pat Neshek on the 60-day disabled list.,TRUE,2009,Minnesota Twins,Pat Neshek,placed,60,FALSE,NA
2009-02-26,Atlanta Braves Placed RHP Tim Hudson on the 60-day disabled list.,TRUE,2009,Atlanta Braves,Tim Hudson,placed,60,FALSE,NA
2009-03-15,placed LHP Ryan Feierabend on the 60-day disabled list.,TRUE,2009,Seattle Mariners,Ryan Feierabend,placed,60,FALSE,NA
2009-03-26,Placed RHP Jake Westbrook on the 60-day disabled list recovering from June 2008 Tommy John surgery.,TRUE,2009,Cleveland Indians,Jake Westbrook,placed,60,FALSE,NA
2009-03-27,Philadelphia Phillies Placed LHP Michael Zagurski on the 15-day disabled list recovering from April 2008 Tommy John surgery.,TRUE,2009,Philadelphia Phillies,Tommy John,placed,15,FALSE,NA
2009-03-28,Houston Astros Placed RHP Brandon Backe on the 15-day disabled list with a left intercostal strain and placed IF Aaron Boone on the 15-day disabled list while recovering from heart surgery.,TRUE,2009,Houston Astros,Brandon Backe,placed,15,FALSE,NA
2009-03-28,"St. Louis Cardinals Placed 3B Troy Glaus and LHP Jaime Garcia on the 15-day disabled list, retroactive to March 27.",TRUE,2009,St. Louis Cardinals,Troy Glaus,placed,15,TRUE,2009-03-27
2009-03-28,Placed LHP Matt Chico on the 60-day disabled list.,TRUE,2009,Washington Nationals,Matt Chico,placed,60,FALSE,NA
2009-03-29,"Atlanta Braves Placed RHP Charlie Morton on the 15-day disabled list, retroactive to March 27, with a strained left oblique.",TRUE,2009,Atlanta Braves,Charlie Morton,placed,15,TRUE,2009-03-27
2009-03-29,Baltimore Orioles Placed LHP Rich Hill on the 15-day disabled list with a strained left elbow.,TRUE,2009,Baltimore Orioles,Rich Hill,placed,15,FALSE,NA
2009-03-29,"Detroit Tigers Placed RHP Joel Zumaya on the 15-day disabled list, retroactive to March 27, with a sore right shoulder and placed LHP Dontrelle Willis on the 15-day disabled list with an anxiety disorder.",TRUE,2009,Detroit Tigers,Joel Zumaya,placed,15,TRUE,2009-03-27
2009-03-30,"Placed INF Jayson Nix on the 15-day disabled list, retroactive to March 27, with a strained right quadriceps.",TRUE,2009,Chicago White Sox,Jayson Nix,placed,15,TRUE,2009-03-27
2009-03-30,"Cleveland Indians Placed OF David Dellucci on the 15-day disabled list with a strained left calf, retroactive to March 29.",TRUE,2009,Cleveland Indians,David Dellucci,placed,15,TRUE,2009-03-29
2009-03-30,"Milwaukee Brewers Placed RHP Trevor Hoffman on the 15-day disabled list, retroactive to March 27, with a strained right oblique.",TRUE,2009,Milwaukee Brewers,Trevor Hoffman,placed,15,TRUE,2009-03-27
2009-03-31,"Detroit Tigers Placed RHP Jeremy Bonderman on the 15-day disabled list, retroactive to March 30, as he continues rehabilitation from thoracic outlet compression syndrome surgery.",TRUE,2009,Detroit Tigers,Jeremy Bonderman,placed,15,TRUE,2009-03-30
2009-04-01,"Kansas City Royals placed LHP John Bale on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Kansas City Royals,John Bale,placed,15,TRUE,2009-03-27
2009-04-01,"Seattle Mariners placed LHP Cesar Jimenez on the 15-day disabled list retroactive to March 29, 2009.",TRUE,2009,Seattle Mariners,Cesar Jimenez,placed,15,TRUE,2009-03-29
2009-04-01,Washington Nationals placed 1B Dmitri Young on the 15-day disabled list.,TRUE,2009,Washington Nationals,Dmitri Young,placed,15,FALSE,NA
2009-04-01,Atlanta Braves placed C David Ross on the 15-day disabled list.,TRUE,2009,Atlanta Braves,David Ross,placed,15,FALSE,NA
2009-04-01,San Diego Padres placed RHP Mike Adams on the 15-day disabled list.,TRUE,2009,San Diego Padres,Mike Adams,placed,15,FALSE,NA
2009-04-01,San Diego Padres placed RHP Mark Worrell on the 15-day disabled list.,TRUE,2009,San Diego Padres,Mark Worrell,placed,15,FALSE,NA
2009-04-01,Tampa Bay Rays placed RHP Jason Isringhausen on the 15-day disabled list.,TRUE,2009,Tampa Bay Rays,Jason Isringhausen,placed,15,FALSE,NA
2009-04-02,"Minnesota Twins placed RHP Scott Baker on the 15-day disabled list retroactive to March 28, 2009.",TRUE,2009,Minnesota Twins,Scott Baker,placed,15,TRUE,2009-03-28
2009-04-02,Minnesota Twins placed RHP Boof Bonser on the 15-day disabled list.,TRUE,2009,Minnesota Twins,Boof Bonser,placed,15,FALSE,NA
2009-04-02,"Pittsburgh Pirates placed LHP Phil Dumatrait on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Pittsburgh Pirates,Phil Dumatrait,placed,15,TRUE,2009-03-27
2009-04-02,Minnesota Twins placed C Joe Mauer on the 15-day disabled list.,TRUE,2009,Minnesota Twins,Joe Mauer,placed,15,FALSE,NA
2009-04-02,Atlanta Braves placed LHP Tom Glavine on the 15-day disabled list.,TRUE,2009,Atlanta Braves,Tom Glavine,placed,15,FALSE,NA
2009-04-03,"Seattle Mariners placed RF Ichiro Suzuki on the 15-day disabled list retroactive to March 31, 2009.",TRUE,2009,Seattle Mariners,Ichiro Suzuki,placed,15,TRUE,2009-03-31
2009-04-03,"Washington Nationals placed RHP Terrell Young on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Washington Nationals,Cy Young,placed,15,TRUE,2009-03-27
2009-04-04,"Florida Marlins placed 2B Alfredo Amezaga on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Florida Marlins,Alfredo Amezaga,placed,15,TRUE,2009-03-27
2009-04-04,Oakland Athletics placed RHP Joey Devine on the 60-day disabled list.,TRUE,2009,Oakland Athletics,Joey Devine,placed,60,FALSE,NA
2009-04-04,"Boston Red Sox placed RHP Miguel Gonzalez on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Boston Red Sox,Miguel Gonzalez,placed,15,TRUE,2009-03-27
2009-04-04,"Boston Red Sox placed CF Mark Kotsay on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Boston Red Sox,Mark Kotsay,placed,15,TRUE,2009-03-27
2009-04-04,"Florida Marlins placed RHP Scott Proctor on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Florida Marlins,Scott Proctor,placed,15,TRUE,2009-03-27
2009-04-04,"Boston Red Sox placed RHP John Smoltz on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Boston Red Sox,John Smoltz,placed,15,TRUE,2009-03-27
2009-04-04,"Boston Red Sox placed CF Jonathan Van Every on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Boston Red Sox,Jonathan Van Every,placed,15,TRUE,2009-03-27
2009-04-04,"Florida Marlins placed RHP Rick van den Hurk on the 15-day disabled list retroactive to March 29, 2009.",TRUE,2009,Florida Marlins,Rick Van Den Hurk,placed,15,TRUE,2009-03-29
2009-04-05,San Diego Padres placed RHP Mike Adams on the 60-day disabled list.,TRUE,2009,San Diego Padres,Mike Adams,placed,60,FALSE,NA
2009-04-05,"San Diego Padres placed RHP Cha Seung Baek on the 15-day disabled list retroactive to March 30, 2009.",TRUE,2009,San Diego Padres,Cha Seung Baek,placed,15,TRUE,2009-03-30
2009-04-05,Texas Rangers placed RHP Joaquin Benoit on the 60-day disabled list.,TRUE,2009,Texas Rangers,Joaquin Benoit,placed,60,FALSE,NA
2009-04-05,"Tampa Bay Rays placed RHP Chad Bradford on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Tampa Bay Rays,Chad Bradford,placed,15,TRUE,2009-03-27
2009-04-05,"Colorado Rockies placed RHP Taylor Buchholz on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Colorado Rockies,Taylor Buchholz,placed,15,TRUE,2009-03-27
2009-04-05,"Los Angeles Angels placed RHP Kelvim Escobar on the 15-day disabled list retroactive to April 4, 2009.",TRUE,2009,Los Angeles Angels,Kelvim Escobar,placed,15,TRUE,2009-04-04
2009-04-05,"Texas Rangers placed RHP Willie Eyre on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Texas Rangers,Willie Eyre,placed,15,TRUE,2009-03-27
2009-04-05,"Arizona Diamondbacks placed RHP Tom Gordon on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Arizona Diamondbacks,Tom Gordon,placed,15,TRUE,2009-03-27
2009-04-05,Texas Rangers placed RHP Eric Hurley on the 60-day disabled list.,TRUE,2009,Texas Rangers,Eric Hurley,placed,60,FALSE,NA
2009-04-05,"Los Angeles Angels placed RHP John Lackey on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Los Angeles Angels,John Lackey,placed,15,TRUE,2009-03-27
2009-04-05,"Texas Rangers placed RHP Dustin Nippert on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Texas Rangers,Dustin Nippert,placed,15,TRUE,2009-03-27
2009-04-05,"New York Mets placed CF Angel Pagan on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,New York Mets,Angel Pagan,placed,15,TRUE,2009-03-27
2009-04-05,"Tampa Bay Rays placed CF Fernando Perez on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Tampa Bay Rays,Fernando Perez,placed,15,TRUE,2009-03-27
2009-04-05,"New York Mets placed RHP Tim Redding on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,New York Mets,Tim Redding,placed,15,TRUE,2009-03-27
2009-04-05,"New York Yankees placed 3B Alex Rodriguez on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,New York Yankees,Alex Rodriguez,placed,15,TRUE,2009-03-27
2009-04-05,"Los Angeles Angels placed RHP Ervin Santana on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Los Angeles Angels,Ervin Santana,placed,15,TRUE,2009-03-27
2009-04-05,"Arizona Diamondbacks placed RHP Max Scherzer on the 15-day disabled list retroactive to March 29, 2009.",TRUE,2009,Arizona Diamondbacks,Max Scherzer,placed,15,TRUE,2009-03-29
2009-04-05,"Los Angeles Dodgers placed RHP Jason Schmidt on the 15-day disabled list retroactive to March 30, 2009.",TRUE,2009,Los Angeles Dodgers,Jason Schmidt,placed,15,TRUE,2009-03-30
2009-04-05,"Tampa Bay Rays placed CF B.J. Upton on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Tampa Bay Rays,B.J. Upton,placed,15,TRUE,2009-03-27
2009-04-05,"New York Mets placed LHP Billy Wagner on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,New York Mets,Billy Wagner,placed,15,TRUE,2009-03-27
2009-04-05,San Diego Padres placed RHP Mark Worrell on the 60-day disabled list.,TRUE,2009,San Diego Padres,Mark Worrell,placed,60,FALSE,NA
2009-04-06,"Cleveland Indians placed 2B Jamey Carroll on the 15-day disabled list retroactive to April 5, 2009.",TRUE,2009,Cleveland Indians,Jamey Carroll,placed,15,TRUE,2009-04-05
2009-04-06,"San Diego Padres placed OF Cliff Floyd on the 15-day disabled list retroactive to April 5, 2009.",TRUE,2009,San Diego Padres,Cliff Floyd,placed,15,TRUE,2009-04-05
2009-04-06,"Toronto Blue Jays placed RHP Casey Janssen on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Toronto Blue Jays,Casey Janssen,placed,15,TRUE,2009-03-27
2009-04-06,"Toronto Blue Jays placed RHP Shaun Marcum on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Toronto Blue Jays,Shaun Marcum,placed,15,TRUE,2009-03-27
2009-04-06,"Toronto Blue Jays placed RHP Dustin McGowan on the 15-day disabled list retroactive to March 27, 2009.",TRUE,2009,Toronto Blue Jays,Dustin McGowan,placed,15,TRUE,2009-03-27
2009-04-06,Los Angeles Dodgers placed RHP Claudio Vargas on the 60-day disabled list.,TRUE,2009,Los Angeles Dodgers,Claudio Vargas,placed,60,FALSE,NA
2009-04-10,Houston Astros transferred 3B Aaron Boone from the 15-day disabled list to the 60-day disabled list.,TRUE,2009,Houston Astros,Aaron Boone,transferred,60,FALSE,NA
2009-04-10,San Francisco Giants placed RHP Joe Martinez on the 15-day disabled list.,TRUE,2009,San Francisco Giants,Joe Martinez,placed,15,FALSE,NA
2009-04-10,Kansas City Royals placed LF Jose Guillen on the 15-day disabled list.,TRUE,2009,Kansas City Royals,Jose Guillen,placed,15,FALSE,NA
2009-04-10,"Los Angeles Dodgers placed RHP Hiroki Kuroda on the 15-day disabled list retroactive to April 7, 2009.",TRUE,2009,Los Angeles Dodgers,Hiroki Kuroda,placed,15,TRUE,2009-04-07
2009-04-11,Cleveland Indians placed LHP Scott Lewis on the 15-day disabled list.,TRUE,2009,Cleveland Indians,Scott Lewis,placed,15,FALSE,NA
2009-04-11,Seattle Mariners placed LHP Ryan Rowland-Smith on the 15-day disabled list.,TRUE,2009,Seattle Mariners,Ryan Rowland Smith,placed,15,FALSE,NA
2009-04-12,Florida Marlins activated CF Alfredo Amezaga from the 15-day disabled list.,TRUE,2009,Florida Marlins,Alfredo Amezaga,activated,15,FALSE,NA
2009-04-12,"Houston Astros placed RHP Doug Brocail on the 15-day disabled list retroactive to April 11, 2009.",TRUE,2009,Houston Astros,Doug Brocail,placed,15,TRUE,2009-04-11
2009-04-12,"Arizona Diamondbacks placed RHP Brandon Webb on the 15-day disabled list retroactive to April 7, 2009.",TRUE,2009,Arizona Diamondbacks,Brandon Webb,placed,15,TRUE,2009-04-07
