date,transaction,injured,year,team,player,type,length,is_retroactive,date_retroactive
2010-02-19,Toronto Blue Jays placed RHP Jesse Litsch on the 60-day disabled list.,TRUE,2010,Toronto Blue Jays,Jesse Litsch,placed,60,FALSE,NA
2010-02-21,Toronto Blue Jays placed RHP Dirk Hayhurst on the 60-day disabled list.,TRUE,2010,Toronto Blue Jays,Dirk Hayhurst,placed,60,FALSE,NA
2010-02-22,Cincinnati Reds placed RHP Edinson Volquez on the 60-day disabled list.,TRUE,2010,Cincinnati Reds,Edinson Volquez,placed,60,FALSE,NA
2010-03-13,Texas Rangers placed RHP Eric Hurley on the 60-day disabled list.,TRUE,2010,Texas Rangers,Eric Hurley,placed,60,FALSE,NA
2010-03-25,Milwaukee Brewers placed RHP David Riske on the 15-day disabled list.,TRUE,2010,Milwaukee Brewers,David Riske,placed,15,FALSE,NA
2010-03-25,Milwaukee Brewers placed 3B Mat Gamel on the 15-day disabled list.,TRUE,2010,Milwaukee Brewers,Mat Gamel,placed,15,FALSE,NA
2010-03-26,Cleveland Indians placed 1B Russell Branyan on the 15-day disabled list.,TRUE,2010,Cleveland Indians,Russell Branyan,placed,15,FALSE,NA
2010-03-27,"Detroit Tigers placed RHP Zach Miner on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Detroit Tigers,Zach Miner,placed,15,TRUE,2010-03-26
2010-03-27,"Detroit Tigers placed LHP Bobby Seay on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Detroit Tigers,Bobby Seay,placed,15,TRUE,2010-03-26
2010-03-30,"Milwaukee Brewers placed RHP Jeff Suppan on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Milwaukee Brewers,Jeff Suppan,placed,15,TRUE,2010-03-26
2010-03-31,"Minnesota Twins placed RHP Joe Nathan on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Minnesota Twins,Joe Nathan,placed,15,TRUE,2010-03-26
2010-03-31,"Houston Astros placed RHP Alberto Arias on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Houston Astros,Alberto Arias,placed,15,TRUE,2010-03-26
2010-03-31,"Houston Astros placed RHP Yorman Bazardo on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Houston Astros,Yorman Bazardo,placed,15,TRUE,2010-03-26
2010-03-31,"Houston Astros placed 1B Lance Berkman on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Houston Astros,Lance Berkman,placed,15,TRUE,2010-03-26
2010-03-31,"Boston Red Sox placed RHP Boof Bonser on the 60-day disabled list retroactive to March 26, 2010.",TRUE,2010,Boston Red Sox,Boof Bonser,placed,60,TRUE,2010-03-26
2010-03-31,"Boston Red Sox placed SS Jed Lowrie on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Boston Red Sox,Jed Lowrie,placed,15,TRUE,2010-03-26
2010-03-31,"Cleveland Indians placed RHP Hector Ambriz on the 15-day disabled list retroactive to March 27, 2010.",TRUE,2010,Cleveland Indians,Hector Ambriz,placed,15,TRUE,2010-03-27
2010-03-31,"Seattle Mariners placed LHP Erik Bedard on the 15-day disabled list retroactive to March 26, 2010.",TRUE,2010,Seattle Mariners,Erik Bedard,placed,15,TRUE,2010-03-26
